127.0.0.1 - - [26/Aug/2023:21:45:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/ HTTP/1.1" 200 30903
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/js/userMgmt.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/img/index_sales.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/img/index_cost.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/img/index_policy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/img/index_profit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:45:07 +0900] "GET /myapp/resources/img/favicon.ico HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:50 +0900] "GET /myapp/serviceProfit.do HTTP/1.1" 200 17443
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:50 +0900] "GET /myapp/resources/css/serviceProfit.css HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:50 +0900] "GET /myapp/resources/js/serviceProfit.js HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:52 +0900] "GET /myapp/serviceSales1.do HTTP/1.1" 200 21920
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:53 +0900] "GET /myapp/resources/css/serviceSales1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:53 +0900] "GET /myapp/resources/js/serviceSales1.js HTTP/1.1" 200 15874
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:53 +0900] "GET /myapp/cropArea.do?crop=spotato HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:53 +0900] "GET /myapp/cropProfile.do?selectCrop=spotato HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:53 +0900] "GET /myapp/%3C%=%20contextPath%20%%3E/resources/img/profile_spotato.jpg HTTP/1.1" 400 892
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:55 +0900] "GET /myapp/serviceSales1.do HTTP/1.1" 200 21920
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:55 +0900] "GET /myapp/cropArea.do?crop=spotato HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:55 +0900] "GET /myapp/cropProfile.do?selectCrop=spotato HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:47:55 +0900] "GET /myapp/%3C%=%20contextPath%20%%3E/resources/img/profile_spotato.jpg HTTP/1.1" 400 892
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:48:03 +0900] "GET /myapp/serviceSales1.do HTTP/1.1" 200 21920
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:48:03 +0900] "GET /myapp/cropArea.do?crop=spotato HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:48:03 +0900] "GET /myapp/cropProfile.do?selectCrop=spotato HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:48:03 +0900] "GET /myapp/%3C%=%20contextPath%20%%3E/resources/img/profile_spotato.jpg HTTP/1.1" 400 892
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/serviceSales1.do HTTP/1.1" 200 21920
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/css/serviceSales1.css HTTP/1.1" 200 14283
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/css/revenueChart.css HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/animate/animate.min.css HTTP/1.1" 200 16970
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/css/bootstrap.min.css HTTP/1.1" 200 164063
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/css/header.css HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/counterup/counterup.min.js HTTP/1.1" 200 2406
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/parallax/parallax.min.js HTTP/1.1" 200 6864
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/img/logo.png HTTP/1.1" 200 16216
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/js/userMgmt.js HTTP/1.1" 200 7212
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/lib/lightbox/js/lightbox.js HTTP/1.1" 200 18410
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/js/serviceSales1.js HTTP/1.1" 200 15862
0:0:0:0:0:0:0:1 - - [26/Aug/2023:21:49:06 +0900] "GET /myapp/resources/img/non.jpg HTTP/1.1" 200 1447811
